Species,Diet,Animal,Plant,PC1,PC2
Amniataba_affinis,2,0.281851152,-0.281851152,0.29135223,-0.21526981
Amniataba_caudavittatus,1,2.586689344,-2.586689344,-0.63360293,0.15468468
Amniataba_percoides,2,-0.23304908,0.23304908,0.19121023,0.07985197
Bidyanus_bidyanus,3,-2.197224577,2.197224577,0.48236174,-0.78346644
Bidyanus_welchi,2,0.84729786,-0.84729786,0.28913974,-0.77832681
Hannia_greenwayi_1,2,1.197052361,-1.197052361,-0.18609133,-0.29919632
Helotes_octolineatus,3,-3.409496184,3.377690934,1.33077974,0.98925031
Helotes_sexlineatus,3,-1.265666373,1.265666373,1.30024471,0.8539792
Hephaestus_carbo,1,4.254599025,-4.254599025,-0.65802938,0.22459829
Hephaestus_epirrhinos,1,1.386294361,-1.405150985,-1.39516149,-0.26280957
Hephaestus_fuliginosus,2,-0.717244732,0.717244732,-0.74690337,0.07468081
Hephaestus_habbemai,1,2.586689344,-2.586689344,-0.64295076,0.3951315
Hephaestus_jenkinsi,2,-0.196631102,0.196631102,-0.56697125,0.1317586
Hephaestus_transmontanus,1,5.517452896,-5.517452896,-0.30074728,-0.03448754
Hephaestus_tulliensis,2,-1.191448348,1.191448348,0.01499809,0.03155424
Leiopotherapon_aheneus,2,-0.758371203,0.758371203,0.02378382,-0.02685418
Leiopotherapon_plumbeus,1,2.586689344,-2.586689344,-0.80360103,-0.34694022
Leiopotherapon_unicolor,1,2.197224577,-2.175197255,-1.06302329,-0.13183385
Mesopristes_argenteus,1,2.944438979,-2.843851742,-0.14004817,-0.22825584
Mesopristes_cancellatus,2,1.098612289,-1.098612289,0.02272593,-0.34447877
Pelates_quadrilineatus,1,4.820281566,-4.820281566,0.27274089,-0.24877258
Pelates_sexlineatus,1,3.94413348,-3.94413348,0.49450293,-0.59433403
Pelsartia_humeralis,1,3.17805383,-3.17805383,-0.45071433,0.0765136
Pingalla_gilberti,3,-1.643421765,1.643421765,1.48379891,0.56462925
Pingalla_lorentzi,2,-0.67221966,0.67669206,0.99779512,0.60814139
Pingalla_midgleyi,3,-3.204412763,3.204412763,1.35889133,0.09966254
Rhyncopelates_oxyrhynchus,1,6.906754779,-6.906754779,-0.38469018,-0.25877534
Scortum_barcoo,3,-2.987364024,2.987364024,0.50486583,-0.01681409
Scortum_hillii,3,-3.891820298,3.891820298,0.52885797,-0.1157466
Scortum_ogilbyi,3,-2.442347035,2.442347035,0.56911574,-0.0775385
Scortum_parviceps,3,-3.47609869,3.47609869,0.4861725,-0.20918208
Syncomistes_butleri,3,-6.212606096,6.212606096,1.3330564,0.40985322
Syncomistes_rastellus,3,-2.483823813,2.483823813,1.030941,-1.04410803
Syncomistes_trigonicus,3,-3.584547216,3.584547216,1.36530955,-0.51744194
Terapon_jarbua,1,4.59511985,-4.59511985,-1.6142029,1.41833043
Terapon_puta,1,3.287572356,-3.287572356,-0.19368748,-0.26355821
Terapon_theraps,1,6.906754779,-6.906754779,-0.6199467,-0.62775691
Variichthys_lacustris,2,-0.120144312,0.120144312,-0.49414189,0.40517581
